HyMap
; Estimated on October 27, 2009

ndim               126
aperture          25.0
ifov              2.50
nbits               12
elfnfac              0
lwir                 0


;Pixel      W/lgth          BW         opt        qntm         LSB       NOISE         opt
;No.          [um]        [um]       trans         eff       [e's]       Fixed     degrade
  87      1.727300    0.013400    0.500000    0.600000        50.0       150.0         1.0
  88      1.739500    0.013300    0.500000    0.600000        50.0       150.0         1.0
  89      1.751800    0.013300    0.500000    0.600000        50.0       150.0         1.0
  90      1.764000    0.013100    0.500000    0.600000        50.0       150.0         1.0
  91      1.776000    0.012700    0.500000    0.600000        50.0       150.0         1.0
  92      1.788000    0.012600    0.500000    0.600000        50.0       150.0         1.0
  93      1.799900    0.013400    0.500000    0.600000        50.0       150.0         1.0
  94      1.952400    0.021300    0.500000    0.600000        50.0       150.0         1.0
  95      1.971700    0.021400    0.500000    0.600000        50.0       150.0         1.0
  96      1.991000    0.020900    0.500000    0.600000        50.0       150.0         1.0
  97      2.010100    0.020700    0.500000    0.600000        50.0       150.0         1.0
  98      2.029000    0.020400    0.500000    0.600000        50.0       150.0         1.0
  99      2.048000    0.020800    0.500000    0.600000        50.0       150.0         1.0
 100      2.067200    0.020800    0.500000    0.600000        50.0       150.0         1.0
 101      2.086200    0.020300    0.500000    0.600000        50.0       150.0         1.0
 102      2.104800    0.019700    0.500000    0.600000        50.0       150.0         1.0
 103      2.123000    0.019300    0.500000    0.600000        50.0       150.0         1.0
 104      2.141000    0.019000    0.500000    0.600000        50.0       150.0         1.0
 105      2.159100    0.019300    0.500000    0.600000        50.0       150.0         1.0
 106      2.177000    0.019200    0.500000    0.600000        50.0       150.0         1.0
 107      2.194600    0.018700    0.500000    0.600000        50.0       150.0         1.0
 108      2.213400    0.019000    0.500000    0.600000        50.0       150.0         1.0
 109      2.231000    0.017600    0.500000    0.600000        50.0       150.0         1.0
 110      2.248200    0.018200    0.500000    0.600000        50.0       150.0         1.0
 111      2.265700    0.017900    0.500000    0.600000        50.0       150.0         1.0
